"campaign_name","text","ad_name","ad_set_name","age","gender","result_type","results","reach","impressions","cost_per_result","amount_spent_usd","link_clicks","frequency","starts","ends","audience","restriction18_39","campaign_theme","version","video_theme","agetrin","text_treat"
"PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Cause-led + Factual (Animated)","General Population (18-39)","18-24","unknown",NA,NA,76,105,NA,1.15,NA,1.3815789473684,2022-01-07,2022-01-17,"General audience",1,"'Optimized' PPCo","Video/creatives","Cause-led (any)",1,"Only 3% research"
"PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Cause-led + Factual (Animated)","General Population (18-39)","25-34","unknown",NA,NA,72,98,NA,0.92,NA,1.3611111111111,2022-01-07,2022-01-17,"General audience",1,"'Optimized' PPCo","Video/creatives","Cause-led (any)",1,"Only 3% research"
"PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Cause-led + Factual (Animated)","General Population (18-39)","18-24","unknown",NA,NA,89,89,NA,0.89,NA,1,2022-01-07,2022-01-17,"General audience",1,"'Optimized' PPCo","Video/creatives","Cause-led (any)",1,"Learn"
"PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Cause-led + Factual (Animated)","General Population (18-39)","25-34","unknown",NA,NA,66,76,NA,1.44,NA,1.1515151515152,2022-01-07,2022-01-17,"General audience",1,"'Optimized' PPCo","Video/creatives","Cause-led (any)",1,"Learn"
"PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Cause-led + Factual (Animated)","General Population (18-39)","35-44","unknown",NA,NA,34,46,NA,0.48,NA,1.3529411764706,2022-01-07,2022-01-17,"General audience",1,"'Optimized' PPCo","Video/creatives","Cause-led (any)",0,"Only 3% research"
"PPCo Creatives","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Cause-led + Factual (Animated)","General Population (18-39)","25-34","unknown",NA,NA,40,40,NA,0.76,NA,1,2022-01-07,2022-01-17,"General audience",1,"'Optimized' PPCo","Video/creatives","Cause-led (any)",1,"100x impact"
"Factual V3","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Retargeting (Factual V3)","Retargeting (Factual V3)","25-34","unknown",NA,NA,2,2,NA,0.02,NA,1,2021-12-23,2022-01-04,"Retargeting",1,"Factual","V3 - sometimes Luke","Factual short",1,"Only 3% research"
"Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)","25-34","unknown",NA,NA,5,5,NA,0.28995978031732,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",1,"100x impact"
"Factual","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Climate Change (Factual)","Climate Change (Factual)","35-44","unknown",NA,NA,8,10,NA,0.089987518029513,NA,1.25,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",0,"Bigger difference"
"Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)","18-24","unknown",NA,NA,5,5,NA,0.029995839343171,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",1,"6000+ people"
"Cause-led V3","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Philanthropy (Cause-led V3)","Philanthropy (Cause-led V3)","13-17","unknown",NA,NA,0,5,NA,0.020015086487189,NA,0,2021-12-23,2022-01-04,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Cause-led (any)",1,"Overwhelming"
"Cause-led V3","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Philanthropy (Cause-led V3)","Philanthropy (Cause-led V3)","13-17","unknown",NA,NA,0,2,NA,0.010007543243595,NA,0,2021-12-23,2022-01-04,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Cause-led (any)",1,"Bigger difference"
"Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)","65+","unknown",NA,NA,5,5,NA,0.17997503605903,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"6000+ people"
"Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)","45-54","unknown",NA,NA,4,6,NA,0.079988904915123,NA,1.5,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"6000+ people"
"Factual","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Climate Change (Factual)","Climate Change (Factual)","55-64","unknown",NA,NA,2,2,NA,0.019997226228781,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"6000+ people"
