"","campaign_name","ad_name","image_video_and_slideshow","ad_set_name","reach","impressions","result_type","results","amount_spent_usd","starts","ends","link_clicks","cost_per_result","audience","restriction18_39","campaign_theme","version","video_theme"
"187","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","Auto_Cropped_AR_4_X_5_DCO_V2_ggwc_emotional_set_1 (1).mp4 (318095713501708)","Lookalikes (Cause-led V3)",48,72,NA,NA,0.69,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Animal"
"188","Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Philanthropy + Lookalikes (18-39)",16,32,NA,NA,0.63,2022-01-07,2022-01-17,NA,NA,"Philanthropy",1,"Hypercube","Video/creatives","Hypercube (factual)"
"189","Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Lookalikes (Factual V3)",19,20,NA,NA,0.63,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Factual","V3 - sometimes Luke","Factual short"
"190","Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_gg_factual_short.mp4 (2970964036552019)","Climate Change (Factual V3)",30,32,NA,NA,0.61,2021-12-23,2022-01-04,NA,NA,"Climate",1,"Factual","V3 - sometimes Luke","Factual short"
"191","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Retargeting (18-39)",19,32,NA,NA,0.61,2022-01-07,2022-01-18,NA,NA,"Retargeting",1,"'Optimized' PPCo","Video/creatives","Factual short"
"192","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892970277592193)","Animal Welfare (18-39)",38,54,NA,NA,0.57990768251273,2022-01-07,2022-01-17,NA,NA,"Animal",1,"'Optimized' PPCo","Video/creatives","Factual short"
"193","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy (18-39)",23,28,NA,NA,0.56,2022-01-07,2022-01-18,NA,NA,"Philanthropy",1,"'Optimized' PPCo","Video/creatives","Climate"
"194","Giving Guide 2021 – Cause-led V3","Climate Change (Cause-led V3)","cropped_4X5_(x, y)_(0, 155)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (321584443149131)","Climate Change (Cause-led V3)",46,47,NA,NA,0.52,2021-12-23,2022-01-04,NA,NA,"Climate",1,"Cause-led","V3 - sometimes Luke","Climate"
"195","Giving Guide 2021 - Cause-led","Philanthropy (Cause-led)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (783180656413918)","Retargeting (Cause-led)",3,5,NA,NA,0.49895277207392,2021-12-03,2021-12-20,NA,NA,"Retargeting",0,"Cause-led","V1","Animal"
"196","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (279496877544018)","Lookalikes (Cause-led V3)",43,49,NA,NA,0.49,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Climate"
"197","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare  + Lookalikes (18-39)",16,18,NA,NA,0.49,2022-01-07,2022-01-17,NA,NA,"Animal",1,"'Optimized' PPCo","Video/creatives","Animal"
"198","Giving Guide 2021 – Cause-led V3","Philanthropy (Cause-led V3)","New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (279496877544018)","Philanthropy (Cause-led V3)",48,48,NA,NA,0.48036207569255,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Climate"
"199","Giving Guide 2021 – Factual V3","Global Poverty (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Global Poverty (Factual V3)",33,33,NA,NA,0.48,2021-12-23,2022-01-04,NA,NA,"Global Poverty",1,"Factual","V3 - sometimes Luke","Factual short"
"200","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4 (254244359987533)","Lookalikes (Cause-led V3)",14,20,NA,NA,0.47,2021-12-23,2022-01-04,1,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Climate"
