Campaign name,Ad Set Name,Age,Gender,Video,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),35-44,female,23849025716920764,4,5,1.25,,,,0.12,24,,,,0,0,30,2,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,male,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,12,16,1.333333333,,,,0.18,11.25,,,,0,0,15,3,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Animal Welfare  + Lookalikes (18-39),35-44,female,23849025491170764,180,239,1.327777778,On-Facebook Leads,1,5.19,5.19,21.71548117,1,5.19,0.418410042,6,2.51046025,28.83333333,63,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,female,ggwc_emotional_set_2 (1).mp4,10,12,1.2,,,,0.20,16.66666667,,,,0,0,20,4,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Animal Welfare  + Lookalikes (18-39),35-44,male,23849025491170764,45,59,1.311111111,,,,1.05,17.79661017,,,,0,0,23.33333333,16,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,male,ggwc_emotional_set_1 (1).mp4,118,135,1.144067797,On-Facebook Leads,1,4.67,4.67,34.61818972,2,2.33672781,1.481481481,3,2.22222222,39.60555603,31,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Animal Welfare  + Lookalikes (18-39),35-44,female,23849025719690764,6,8,1.333333333,,,,0.02,2.5,,,,0,0,3.33333333,3,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,male,ggwc_emotional_set_2 (1).mp4,4,6,1.5,,,,0.38,63.33333333,1,0.38,16.66666667,1,16.66666667,95,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,unknown,gg_factual_short.mp4,2,3,1.5,,,,0.05,16.66666667,,,,0,0,25,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,male,gg_factual_short.mp4,12,27,2.25,,,,0.15,5.55555556,,,,0,0,12.5,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Animal Welfare  + Lookalikes (18-39),35-44,unknown,23849025491170764,5,6,1.2,,,,0.13,21.66666667,,,,0,0,26,4,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,unknown,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,unknown,ggwc_emotional_set_2 (1).mp4,1,1,1,,,,0.03,30,,,,0,0,30,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),35-44,female,23849025484170764,1798,2807,1.561179088,On-Facebook Leads,2,26.10,52.20,18.59636623,11,4.74545455,0.391877449,60,2.13751336,29.03225806,840,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),35-44,male,Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4,2,2,1,,,,0.04,20.01508649,,,,0,0,20.01508649,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,ggwc_emotional_set_1 (1).mp4,578,667,1.153979239,On-Facebook Leads,5,5.39,26.96,40.41969192,8,3.36999181,1.1994003,15,2.24887556,46.64348532,178,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,ggwc_emotional_set_3 (1).mp4,951,1044,1.097791798,On-Facebook Leads,3,9.17,27.51,26.35090181,11,2.50094014,1.053639847,17,1.62835249,28.92780388,257,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),35-44,male,23849025484170764,706,1018,1.441926346,,,,16.81,16.51277014,1,16.81,0.098231827,12,1.17878193,23.8101983,261,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),35-44,male,23849025716920764,4,8,2,,,,0.13,16.25,,,,0,0,32.5,1,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,unknown,ggwc_emotional_set_2 (1).mp4,26,37,1.423076923,,,,0.50,13.51351351,,,,0,0,19.23076923,8,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),35-44,female,23849025697500764,47,67,1.425531915,On-Facebook Leads,1,1.31,1.31,19.55223881,1,1.31,1.492537313,3,4.47761194,27.87234043,25,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),35-44,male,23849025488960764,309,400,1.294498382,On-Facebook Leads,1,11.76,11.76,29.4,2,5.88,0.5,5,1.25,38.05825243,95,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Lookalikes (18-39),35-44,unknown,ggwc_emotional_set_3 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,ggwc_emotional_set_2 (1).mp4,19,20,1.052631579,,,,0.44,22.01627911,,,,0,0,23.17503065,3,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,unknown,ggwc_emotional_set_1 (1).mp4,20,23,1.15,,,,0.68,29.58709446,,,,0,0,34.02515863,8,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,ggwc_emotional_set_3 (1).mp4,21,23,1.095238095,,,,0.69,30.02219879,,,,0,0,32.88145582,7,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),35-44,male,"cropped_4X5_(x, y)_(0, 155)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v",1,2,2,,,,0.01,5.00377162,,,,0,0,10.00754324,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,female,gg_factual_short.mp4,3956,4846,1.224974722,On-Facebook Leads,6,11.13,66.76,13.77631036,20,3.338,0.412711515,49,1.01114321,16.87563195,1404,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021,26,28,1.076923077,,,,1.11,39.67219126,,,,0,0,42.72389828,4,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),35-44,female,23849025488960764,662,804,1.214501511,,,,22.01,27.37562189,4,5.5025,0.497512438,7,0.87064677,33.24773414,218,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,male,gg_factual_short.mp4,1272,1489,1.170597484,On-Facebook Leads,1,15.19,15.19,10.2014775,5,3.038,0.335795836,12,0.80591001,11.9418239,358,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4,55,62,1.127272727,On-Facebook Leads,1,1.80,1.80,29.05374076,1,1.80133193,1.612903226,4,6.4516129,32.75148959,15,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,female,ggwc_emotional_set_2 (1).mp4,1064,1315,1.235902256,,,,16.61,12.63117871,4,4.1525,0.30418251,11,0.8365019,15.61090226,258,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,male,ggwc_emotional_set_2 (1).mp4,410,517,1.26097561,On-Facebook Leads,1,6.90,6.90,13.34622824,2,3.45,0.386847195,4,0.77369439,16.82926829,83,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,unknown,gg_factual_short.mp4,108,134,1.240740741,,,,1.42,10.59701493,,,,0,0,13.14814815,47,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,unknown,ggwc_emotional_set_3 (1).mp4,48,48,1,,,,0.80,16.67899933,,,,0,0,16.67899933,10,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change + Lookalikes (18-39),35-44,unknown,23849025488960764,24,42,1.75,,,,0.70,16.66666667,,,,0,0,29.16666667,15,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Lookalikes (Emotional),35-44,female,ggwc_emotional_set_1 (1).mp4,44,50,1.136363636,,,,3.17,63.44691344,,,,0,0,72.09876528,6,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,female,gg_factual_short.mp4,57,83,1.456140351,,,,1.91,23.01204819,1,1.91,1.204819277,2,2.40963855,33.50877193,22,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),35-44,female,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,54,70,1.296296296,,,,1.75,25,,,,1,1.42857143,32.40740741,19,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,gg_factual_short.mp4,2148,2353,1.095437616,On-Facebook Leads,2,15.09,30.18,12.82617935,7,4.31142857,0.297492563,22,0.93497663,14.05027933,626,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,ggwc_emotional_set_1 (1).mp4,1322,1452,1.098335855,,,,33.80,23.27823691,2,16.9,0.137741047,7,0.48209366,25.56732224,266,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),35-44,male,23849025692820764,25,37,1.48,,,,0.51,13.78378378,1,0.51,2.702702703,2,5.40540541,20.4,8,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,male,Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021,20,27,1.35,,,,0.44,16.365861,,,,0,0,22.09391235,7,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Retargeting (18-39),35-44,male,23849025484210764,3,9,3,,,,0.05,5.55555556,,,,1,11.11111111,16.66666667,2,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,male,ggwc_emotional_set_3 (1).mp4,12,17,1.416666667,,,,0.37,21.85761382,,,,0,0,30.96495291,3,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,ggwc_emotional_set_2 (1).mp4,6,8,1.333333333,,,,0.07,8.75,,,,0,0,11.66666667,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,unknown,ggwc_emotional_set_3 (1).mp4,7,7,1,,,,0.01,1.42857143,,,,0,0,1.42857143,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Retargeting (18-39),35-44,female,23849025484210764,4,4,1,,,,0.11,27.5,,,,0,0,27.5,1,,,"23845437620760764:GWWC All Website Visitors (90 Days),23845437623800764:GWWC www. Website Visitors (90 Days),23845437820710764:GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,gg_factual_short.mp4,5,6,1.2,,,,0.19,31.66666667,,,,0,0,38,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,unknown,ggwc_emotional_set_1 (1).mp4,14,22,1.571428571,On-Facebook Leads,1,0.65,0.65,29.6715765,2,0.32638734,9.090909091,3,13.63636364,46.62676308,3,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,4,5,1.25,,,,0.07,14,,,,0,0,17.5,3,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),35-44,female,23849025487530764,2024,2756,1.361660079,On-Facebook Leads,1,53.20,53.20,19.30333817,9,5.91111111,0.326560232,35,1.26995646,26.28458498,860,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,ggwc_emotional_set_1 (1).mp4,27,33,1.222222222,,,,0.74,22.42424242,1,0.74,3.03030303,2,6.06060606,27.40740741,6,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),35-44,male,23849025487530764,1152,1510,1.310763889,,,,22.03,14.58940397,5,4.406,0.331125828,18,1.19205298,19.12326389,360,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,ggwc_emotional_set_1 (1).mp4,2,2,1,,,,0.01,5,,,,0,0,5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),35-44,female,23849025692820764,54,74,1.37037037,,,,1.24,16.75675676,,,,1,1.35135135,22.96296296,26,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,ggwc_emotional_set_3 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,ggwc_emotional_set_2 (1).mp4,1,1,1,,,,0.24,240,,,,0,0,240,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,unknown,ggwc_emotional_set_1 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),35-44,unknown,23849025487530764,66,66,1,,,,1.16,17.57575758,,,,1,1.51515152,17.57575758,17,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,female,Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4,35,54,1.542857143,,,,0.62,11.53049298,,,,0,0,17.78990345,7,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,ggwc_emotional_set_3 (1).mp4,32,32,1,,,,0.28,8.75,,,,0,0,8.75,4,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4,27,34,1.259259259,,,,0.77,22.64705882,,,,1,2.94117647,28.51851852,6,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,unknown,ggwc_emotional_set_2 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,ggwc_emotional_set_3 (1).mp4,122,132,1.081967213,On-Facebook Leads,1,1.92,1.92,14.54545455,2,0.96,1.515151515,3,2.27272727,15.73770492,28,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,unknown,Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4,1,1,1,,,,0.01,10.04268743,,,,0,0,10.04268743,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,unknown,Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021,1,1,1,,,,0.01,10.04268743,,,,0,0,10.04268743,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,female,ggwc_emotional_set_2 (1).mp4,806,968,1.200992556,On-Facebook Leads,1,14.85,14.85,15.34090909,5,2.97,0.516528926,10,1.03305785,18.42431762,229,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,gg_factual_short.mp4,548,609,1.111313869,,,,6.41,10.52545156,1,6.41,0.164203612,1,0.16420361,11.69708029,133,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),35-44,unknown,23849025484170764,48,59,1.229166667,,,,1.05,17.79661017,,,,0,0,21.875,17,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,unknown,ggwc_emotional_set_2 (1).mp4,3,3,1,,,,0.01,3.34756248,,,,0,0,3.34756248,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,male,Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4,3,3,1,,,,0.05,16.73781239,,,,0,0,16.73781239,1,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,male,ggwc_emotional_set_1 (1).mp4,244,276,1.131147541,,,,6.04,21.88405797,3,2.01333333,1.086956522,4,1.44927536,24.75409836,50,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),35-44,unknown,ggwc_emotional_set_3 (1).mp4,3,4,1.333333333,,,,0.13,32.63873415,,,,0,0,43.5183122,2,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),35-44,unknown,ggwc_emotional_set_2 (1).mp4,34,37,1.088235294,,,,0.37,10,,,,1,2.7027027,10.88235294,1,,,,2021-11-01,2022-01-20
