"Campaign name","Ad name",Text,"Campaign name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks",Frequency,"Unique link clicks","Start Pledge (New)",Starts,Ends,"Reporting starts","Reporting ends"
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,37,37,,0.4,,1,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,53,56,,0.57,,1.0566037735849,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",1,70,70,0.94,0.94,1,1,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Climate Change (Emotional V3)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",1,145,149,1.71,1.71,1,1.0275862068966,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,1566,1650,,26.94,6,1.0536398467433,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",3,1796,1911,10.156666666667,30.47,11,1.0640311804009,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",7,2768,3076,7.8557142857143,54.99,26,1.1112716763006,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",13,6782,7793,9.2646153846154,120.44,28,1.1490710704807,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",3,1628,1701,9.77,29.31,10,1.0448402948403,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view","On-Facebook Leads",9,3880,4233,6.6711111111111,60.04,16,1.0909793814433,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Lookalikes (Factual)","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Giving Guide 2021 – Factual","7-day click or 1-day view",,,86,87,,5.38,2,1.0116279069767,,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
