Campaign name,Ad Set Name,Age,Gender,Text,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Emotional V3,Global Poverty (Emotional V3),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.02,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare (18-39),13-17,male,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",0,2,0,,,,0.01,4.99920416,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare (18-39),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",2,2,1,,,,0.02,9.99840832,,,,0,0,9.99840832,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,2,2,1,,,,0.20,100,,,,0,0,100,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare (18-39),13-17,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",1,1,1,,,,0.01,9.99840832,,,,0,0,9.99840832,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,unknown,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.02,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.33,330,,,,0,0,330,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.08,80,,,,0,0,80,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,female,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.02,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,unknown,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,1,1,1,,,,0.02,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,1,1,1,,,,0.06,60,,,,0,0,60,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,2,2,1,,,,0.03,15,,,,0,0,15,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,female,"Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.",2,3,1.5,,,,0.02,6.6716955,,,,0,0,10.00754324,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,unknown,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",1,1,1,,,,0.04,40,,,,0,0,40,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Animal Welfare (Factual V3),13-17,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",2,2,1,,,,0.05,25.00187126,,,,0,0,25.00187126,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Philanthropy (Factual V3),13-17,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",5,5,1,,,,0.03,6,,,,0,0,6,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",4,6,1.5,,,,0.05,8.33961937,,,,0,0,12.50942905,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,female,"It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",8,15,1.875,,,,0.15,10.00754324,,,,0,0,18.76414358,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",0,7,0,,,,0.18,25.8240534,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),13-17,unknown,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,male,"It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",8,11,1.375,,,,0.09,8.18798993,,,,0,0,11.25848615,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),13-17,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Animal Welfare  + Lookalikes (18-39),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.02,20,,,,0,0,20,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,"Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.",3,3,1,,,,0.03,10.00754324,,,,0,0,10.00754324,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual,Animal Welfare (Factual),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
